cabang,latitude_cabang,longitude_cabang,lama_beroperasi_bulan,Omset Jan25,Omset Jan26,Persen Growth,Kategori_By_StdDev,Kategori_Percentile,Kategori_KPI_Atasan,Kategori_ZScore,Kategori_IQR
BR-0232,-5.884112116,106.9256104,10,50000000,42862962.7,-14.27,Sedang,Bawah,Kurang,Normal,Normal
BR-0233,-6.14044224,104.9620553,53,55221933.73,41393169.59,-25.04,Sedang,Bawah,Kurang,Normal,Normal
BR-0234,-7.186200521,107.9955304,79,50000000,54873186.43,9.75,Sedang,Tengah,Cukup,Normal,Normal
BR-0235,-2.992883866,105.1513116,59,185945084.9,183115167.4,-1.52,Sedang,Tengah,Kurang,Normal,Normal
BR-0236,-5.257921467,111.8790681,22,50000000,75956875.6,51.91,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0237,-9.24651388,107.1869383,51,50000000,22813264.57,-54.37,Sedang,Bawah,Kurang,Normal,Normal
BR-0238,-5.929118528,105.9322961,48,74226621.12,90422616.77,21.82,Sedang,Tengah,Baik,Normal,Normal
BR-0239,-7.201479697,107.3073008,21,50000000,71166728.46,42.33,Sedang,Tengah,Baik,Normal,Normal
BR-0240,-4.930149998,103.4777843,120,51783989.32,100598631.6,94.27,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0241,-7.397581108,104.4165649,22,79436773.14,80016154.1,0.73,Sedang,Tengah,Cukup,Normal,Normal
BR-0242,-6.380904662,109.8466348,100,53773092.33,71506567.79,32.98,Sedang,Tengah,Baik,Normal,Normal
BR-0243,-5.451319082,105.2033643,98,62082076.66,29703472.72,-52.15,Sedang,Bawah,Kurang,Normal,Normal
BR-0244,-4.910167209,104.2283225,30,50000000,12160875.91,-75.68,Sedang,Bawah,Kurang,Normal,Normal
BR-0245,-8.009244611,108.1872319,25,50000000,76895487.52,53.79,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0246,-6.710551854,109.8098604,109,79634336.97,95384088.25,19.78,Sedang,Tengah,Baik,Normal,Normal
BR-0247,-6.921217967,108.6429833,28,188189472,627743175,233.57,Tinggi,Atas,Sangat Baik,High Performer,Extreme High
BR-0248,-7.188793849,109.3357192,65,66388936.29,43195220.79,-34.94,Sedang,Bawah,Kurang,Normal,Normal
BR-0249,-3.56061864,104.9536123,113,75162159.97,105825379.1,40.8,Sedang,Tengah,Baik,Normal,Normal
BR-0250,-5.601327434,103.2910733,45,99496562.43,193772255.3,94.75,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0251,-8.100125932,110.5989341,68,50000000,68394112.17,36.79,Sedang,Tengah,Baik,Normal,Normal
BR-0252,-4.832007079,106.0389004,7,182362823.2,239010661.6,31.06,Sedang,Tengah,Baik,Normal,Normal
BR-0253,-3.025565704,106.2185175,49,74134923.23,89215629.63,20.34,Sedang,Tengah,Baik,Normal,Normal
BR-0254,-4.660102109,110.1660854,9,174793203.6,99920083.38,-42.84,Sedang,Bawah,Kurang,Normal,Normal
BR-0255,-8.487854949,108.236175,36,50000000,87111458.71,74.22,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0256,-6.935151109,107.9853194,83,195454300.6,186787259.6,-4.43,Sedang,Tengah,Kurang,Normal,Normal
BR-0257,-4.308433276,112.2581059,1,104541355.4,146545371.8,40.18,Sedang,Tengah,Baik,Normal,Normal
BR-0258,-7.270304198,105.2368044,10,91497668.73,52591604.39,-42.52,Sedang,Bawah,Kurang,Normal,Normal
BR-0259,-5.543070858,109.1652003,36,75558267.58,55022749.52,-27.18,Sedang,Bawah,Kurang,Normal,Normal
BR-0260,-5.04684892,106.9881328,73,56563973.46,68758255.54,21.56,Sedang,Tengah,Baik,Normal,Normal
BR-0261,-7.599195707,107.5170807,109,134937058.6,143178890.6,6.11,Sedang,Tengah,Cukup,Normal,Normal
BR-0262,-6.298088034,110.6667711,46,71429101.04,127237385.6,78.13,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0263,-11.07070101,108.1151894,106,50000000,58435386.82,16.87,Sedang,Tengah,Baik,Normal,Normal
BR-0264,-7.745381462,108.1913402,32,50000000,23162044.54,-53.68,Sedang,Bawah,Kurang,Normal,Normal
BR-0265,-6.587652227,109.5268683,32,58731839.52,91435315.87,55.68,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0266,-8.080474773,105.9332182,6,79082280.2,76238724.41,-3.6,Sedang,Tengah,Kurang,Normal,Normal
BR-0267,-3.760183044,104.7475758,48,63468032.17,93899400.24,47.95,Sedang,Tengah,Baik,Normal,Normal
BR-0268,-8.354012067,104.233577,38,136438220.6,165101755.1,21.01,Sedang,Tengah,Baik,Normal,Normal
BR-0269,-6.86886673,101.9297085,17,50000000,29137635.44,-41.72,Sedang,Bawah,Kurang,Normal,Normal
BR-0270,-6.012689134,111.9861178,74,71567581.85,90584369.84,26.57,Sedang,Tengah,Baik,Normal,Normal
BR-0271,-4.046890066,104.0875791,114,50000000,103924462.8,107.85,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0272,-8.362593227,106.2924659,27,103577157.6,144717443.6,39.72,Sedang,Tengah,Baik,Normal,Normal
BR-0273,-4.464054372,106.1535668,54,62042163.69,73023186.09,17.7,Sedang,Tengah,Baik,Normal,Normal
BR-0274,-6.193450408,107.6141167,50,84458089.18,137678286.6,63.01,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0275,-7.681062977,108.884943,35,50000000,64213369.3,28.43,Sedang,Tengah,Baik,Normal,Normal
BR-0276,-5.515644789,108.9967837,116,141481420,181635784.2,28.38,Sedang,Tengah,Baik,Normal,Normal
BR-0277,-5.910210457,105.3879064,85,122673240.7,93642609.82,-23.67,Sedang,Bawah,Kurang,Normal,Normal
BR-0278,-7.109125316,106.4277957,25,93187726.57,120541978.2,29.35,Sedang,Tengah,Baik,Normal,Normal
BR-0279,-6.104096873,107.5520499,28,60750729.71,98062452.91,61.42,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0280,-6.786770395,106.2238722,111,92981803.55,80482737.54,-13.44,Sedang,Bawah,Kurang,Normal,Normal
BR-0281,-6.038523982,110.8639639,15,50000000,88489916.42,76.98,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0282,-5.215603988,108.0730374,4,109708060,127625316,16.33,Sedang,Tengah,Baik,Normal,Normal
BR-0283,-3.829774776,108.6827945,93,176651343.4,149251341.3,-15.51,Sedang,Bawah,Kurang,Normal,Normal
BR-0284,-8.065523248,108.5028032,73,124817887.9,502301708,302.43,Tinggi,Atas,Sangat Baik,High Performer,Extreme High
BR-0285,-3.009249938,109.7792846,27,50000000,54264115.29,8.53,Sedang,Tengah,Cukup,Normal,Normal
BR-0286,-9.136931699,107.2981539,26,81560072.32,122650522.4,50.38,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0287,-6.436477643,103.6035201,19,50000000,54164827.35,8.33,Sedang,Tengah,Cukup,Normal,Normal
BR-0288,-5.32632419,107.8448199,120,92566159.69,108864241.1,17.61,Sedang,Tengah,Baik,Normal,Normal
BR-0289,-5.787312198,105.2172078,92,86043371.57,120239079.5,39.74,Sedang,Tengah,Baik,Normal,Normal
BR-0290,-7.14284928,105.5240583,17,50000000,65817941.15,31.64,Sedang,Tengah,Baik,Normal,Normal
BR-0291,-6.520983376,108.31151,43,50000000,20089364.39,-59.82,Sedang,Bawah,Kurang,Normal,Normal
BR-0292,-6.948301402,109.9413077,41,55401468.69,41634342.44,-24.85,Sedang,Bawah,Kurang,Normal,Normal
BR-0293,-7.092847135,106.8987789,42,54815532.51,86157080.31,57.18,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0294,-4.934396854,107.6176825,50,50000000,57357268.22,14.71,Sedang,Tengah,Baik,Normal,Normal
BR-0295,-5.673276771,111.1011374,84,82920032.51,82132912.35,-0.95,Sedang,Tengah,Kurang,Normal,Normal
BR-0296,-7.248164393,107.4474829,109,76353479.79,50131434.3,-34.34,Sedang,Bawah,Kurang,Normal,Normal
BR-0297,-4.859400187,113.3498078,40,58435756.01,44884823.92,-23.19,Sedang,Bawah,Kurang,Normal,Normal
BR-0298,-5.747850719,108.2593741,39,50000000,19564027.2,-60.87,Sedang,Bawah,Kurang,Normal,Normal
BR-0299,-4.989506822,102.4436931,113,123188255.5,142835268.6,15.95,Sedang,Tengah,Baik,Normal,Normal
BR-0300,-5.264356737,108.7289541,117,177280586.2,170300157.4,-3.94,Sedang,Tengah,Kurang,Normal,Normal
BR-0301,-7.452292516,107.798496,23,50000000,40668242.18,-18.66,Sedang,Bawah,Kurang,Normal,Normal
BR-0302,-7.04907156,110.0699819,111,50000000,58637531.5,17.28,Sedang,Tengah,Baik,Normal,Normal
BR-0303,-5.087859592,108.5285534,96,88165351.11,118634260.7,34.56,Sedang,Tengah,Baik,Normal,Normal
BR-0304,-5.293244602,106.49946,52,52967144.92,107908861.2,103.73,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0305,-6.240152391,103.7848544,47,60391666.38,411553741.7,581.47,Tinggi,Atas,Sangat Baik,Extreme Superstar,Extreme High
BR-0306,-6.032808925,106.3230419,63,102338027.9,170265141.3,66.38,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0307,-4.292302656,104.7192989,97,50000000,79462031.22,58.92,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0308,-7.096157083,105.3942914,110,144816994.3,128650045.6,-11.16,Sedang,Bawah,Kurang,Normal,Normal
BR-0309,-5.388153928,108.317046,69,68586639.52,87879675.89,28.13,Sedang,Tengah,Baik,Normal,Normal
BR-0310,-6.512088979,111.0203613,43,51295014.04,52164295.27,1.69,Sedang,Tengah,Cukup,Normal,Normal
BR-0311,-6.535321805,107.8322788,48,62236954.65,79307022.28,27.43,Sedang,Tengah,Baik,Normal,Normal
BR-0312,-4.560634722,103.8558923,34,64196394.91,115787982.1,80.37,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0313,-4.970675477,107.9571067,40,50000000,72112124.65,44.22,Sedang,Tengah,Baik,Normal,Normal
BR-0314,-4.988535546,109.8371787,75,161007730.4,225965228.4,40.34,Sedang,Tengah,Baik,Normal,Normal
BR-0315,-4.250581789,105.3211427,61,67308385.08,69184691.93,2.79,Sedang,Tengah,Cukup,Normal,Normal
BR-0316,-6.177294238,106.5105571,50,85651841.11,51937335.07,-39.36,Sedang,Bawah,Kurang,Normal,Normal
BR-0317,-5.185870543,106.8823205,67,116212371.3,129764211.5,11.66,Sedang,Tengah,Baik,Normal,Normal
BR-0318,-6.674200135,104.8833542,62,50000000,84132163.1,68.26,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0319,-5.722550471,108.4663011,58,87232117.36,51391306.55,-41.09,Sedang,Bawah,Kurang,Normal,Normal
BR-0320,-6.404014582,106.5432296,33,55919032.01,43503007.95,-22.2,Sedang,Bawah,Kurang,Normal,Normal
BR-0321,-6.063306053,107.8944311,75,109131317.8,136469487.1,25.05,Sedang,Tengah,Baik,Normal,Normal
BR-0322,-5.316064462,104.6268696,16,50000000,40306904.3,-19.39,Sedang,Bawah,Kurang,Normal,Normal
BR-0323,-7.436131025,105.7519542,82,61869842.38,54630490.55,-11.7,Sedang,Bawah,Kurang,Normal,Normal
BR-0324,-3.070219086,108.6515534,94,50000000,51528028.37,3.06,Sedang,Tengah,Cukup,Normal,Normal
BR-0325,-7.717826072,105.9135171,48,85101717.07,55635506.1,-34.62,Sedang,Bawah,Kurang,Normal,Normal
BR-0326,-8.030082919,111.1630096,119,87052897.79,70543425.54,-18.96,Sedang,Bawah,Kurang,Normal,Normal
BR-0327,-4.47163369,105.8465095,10,50000000,74068558.34,48.14,Sedang,Tengah,Baik,Normal,Normal
BR-0328,-5.021305959,107.4073118,82,50000000,33852604.36,-32.29,Sedang,Bawah,Kurang,Normal,Normal
BR-0329,-5.272620274,109.1770771,38,61441789.9,34459698.29,-43.91,Sedang,Bawah,Kurang,Normal,Normal
BR-0330,-5.266281736,103.2996857,19,50000000,47399500.41,-5.2,Sedang,Tengah,Kurang,Normal,Normal
BR-0331,-6.227170159,102.443578,36,108818315.3,162442044.2,49.28,Sedang,Atas,Baik,Normal,Normal
BR-0332,-7.554681557,103.0314592,59,52613099.14,58991452.32,12.12,Sedang,Tengah,Baik,Normal,Normal
BR-0333,-6.095093163,110.0020603,63,50000000,50708378.44,1.42,Sedang,Tengah,Cukup,Normal,Normal
BR-0334,-7.224542567,105.4659546,77,52436148.38,63853779.85,21.77,Sedang,Tengah,Baik,Normal,Normal
BR-0335,-4.7461204,113.2410982,120,50000000,25085851.34,-49.83,Sedang,Bawah,Kurang,Normal,Normal
BR-0336,-6.429386072,105.434981,46,50000000,69894113.08,39.79,Sedang,Tengah,Baik,Normal,Normal
BR-0337,-7.447045795,107.3069783,3,50000000,67668700.63,35.34,Sedang,Tengah,Baik,Normal,Normal
BR-0338,-6.690878762,110.7008749,74,70114843.92,72658372.79,3.63,Sedang,Tengah,Cukup,Normal,Normal
BR-0339,-5.589402819,111.8608322,102,145718100.8,233494284.8,60.24,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0340,-7.054386829,111.9993589,65,79233574.26,59346070.75,-25.1,Sedang,Bawah,Kurang,Normal,Normal
BR-0341,-7.442130593,109.8665156,119,50000000,237329347.8,374.66,Tinggi,Atas,Sangat Baik,High Performer,Extreme High
BR-0342,-5.843269183,109.4057563,120,86317465.53,108915159.3,26.18,Sedang,Tengah,Baik,Normal,Normal
BR-0343,-5.841350143,108.3269174,91,50000000,53268948.2,6.54,Sedang,Tengah,Cukup,Normal,Normal
BR-0344,-6.969214763,108.7915027,110,50000000,59602527.29,19.21,Sedang,Tengah,Baik,Normal,Normal
BR-0345,-6.915357458,105.4676357,8,50000000,57854704.68,15.71,Sedang,Tengah,Baik,Normal,Normal
BR-0346,-5.860725094,104.8001028,51,50000000,84405657.93,68.81,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0347,-8.380926512,106.8371639,110,51963171.02,198459062.3,281.92,Tinggi,Atas,Sangat Baik,High Performer,Extreme High
BR-0348,-8.319995662,106.4201384,106,72191444.09,384574945.9,432.72,Tinggi,Atas,Sangat Baik,Extreme Superstar,Extreme High
BR-0349,-7.286466332,105.7125299,81,61961624.89,100038354.3,61.45,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0350,-6.528970728,108.5865686,73,51157509.01,49202577.28,-3.82,Sedang,Tengah,Kurang,Normal,Normal
BR-0351,-5.742438652,109.233863,6,50000000,78010661.55,56.02,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0352,-3.995765675,107.0666172,107,94579160.12,177787483.3,87.98,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0353,-4.922310565,110.5394252,89,50000000,51964099.46,3.93,Sedang,Tengah,Cukup,Normal,Normal
BR-0354,-6.448707795,103.9913772,39,104596092.1,154022445.2,47.25,Sedang,Tengah,Baik,Normal,Normal
BR-0355,-6.237324312,106.3614514,113,50000000,35028236.47,-29.94,Sedang,Bawah,Kurang,Normal,Normal
BR-0356,-7.712594047,105.0535442,60,50000000,75094665.96,50.19,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0357,-6.236569704,102.1792585,28,50000000,63988479.72,27.98,Sedang,Tengah,Baik,Normal,Normal
BR-0358,-6.641787958,106.6388983,97,50000000,69460765.64,38.92,Sedang,Tengah,Baik,Normal,Normal
BR-0359,-5.724722159,106.5412312,54,117881150.4,111017069.1,-5.82,Sedang,Tengah,Kurang,Normal,Normal
BR-0360,-7.449646415,110.6292244,37,89466682.65,47915370.06,-46.44,Sedang,Bawah,Kurang,Normal,Normal
BR-0361,-5.429780229,108.4226292,9,118101297.5,165495445.7,40.13,Sedang,Tengah,Baik,Normal,Normal
BR-0362,-3.90969163,104.2851329,82,89817063.11,33648951.26,-62.54,Sedang,Bawah,Kurang,Normal,Normal
BR-0363,-6.371940223,111.4808314,56,50000000,53652990.16,7.31,Sedang,Tengah,Cukup,Normal,Normal
BR-0364,-5.606232417,109.8981842,59,53839958.12,84877226.65,57.65,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0365,-5.173584012,108.3008443,85,50000000,63837954.72,27.68,Sedang,Tengah,Baik,Normal,Normal
BR-0366,-6.810630708,106.2793898,2,145887296.9,288760133,97.93,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0367,-5.872661277,104.4470019,61,50000000,80502183.05,61,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0368,-6.189911399,105.9150831,58,112247702.2,105337806,-6.16,Sedang,Tengah,Kurang,Normal,Normal
BR-0369,-6.062285852,109.5674715,107,112197618.1,135862940.2,21.09,Sedang,Tengah,Baik,Normal,Normal
BR-0370,-7.368314676,111.5570658,60,196814480.8,232448080.8,18.11,Sedang,Tengah,Baik,Normal,Normal
BR-0371,-6.172034739,110.7037088,102,51350644.45,29122454.77,-43.29,Sedang,Bawah,Kurang,Normal,Normal
BR-0372,-5.461802563,105.6234764,40,100673513.2,82938910.7,-17.62,Sedang,Bawah,Kurang,Normal,Normal
BR-0373,-4.032084588,104.0465564,36,258134442.5,251860649.3,-2.43,Sedang,Tengah,Kurang,Normal,Normal
BR-0374,-4.769893761,107.1978156,114,50000000,19275589.94,-61.45,Sedang,Bawah,Kurang,Normal,Normal
BR-0375,-2.979026314,102.4245016,107,50000000,60949869.37,21.9,Sedang,Tengah,Baik,Normal,Normal
BR-0376,-7.359821344,107.6535193,37,50000000,55018563.11,10.04,Sedang,Tengah,Baik,Normal,Normal
BR-0377,-4.900319045,106.4765935,79,100697065.6,53454275.95,-46.92,Sedang,Bawah,Kurang,Normal,Normal
BR-0378,-5.933786991,105.6805087,92,50000000,68084257.31,36.17,Sedang,Tengah,Baik,Normal,Normal
BR-0379,-2.9240956,102.8588423,18,52514956.27,78055557.87,48.63,Sedang,Atas,Baik,Normal,Normal
BR-0380,-7.421247428,108.1296003,98,85359978.43,110183837.4,29.08,Sedang,Tengah,Baik,Normal,Normal
BR-0381,-7.468382763,105.5138479,63,73375842.79,78539501.16,7.04,Sedang,Tengah,Cukup,Normal,Normal
BR-0382,-7.107888968,103.9208079,22,84754289.67,121756051.4,43.66,Sedang,Tengah,Baik,Normal,Normal
BR-0383,-9.394643586,99.66494447,11,75028148.43,1707090938,2175.27,Tinggi,Atas,Sangat Baik,Extreme Superstar,Extreme High
BR-0384,-6.997432533,106.7768127,58,141430570.7,187107189.7,32.3,Sedang,Tengah,Baik,Normal,Normal
BR-0385,-7.347498992,111.276229,57,50000000,39763565.64,-20.47,Sedang,Bawah,Kurang,Normal,Normal
BR-0386,-5.98320932,110.998748,77,50000000,65532015.31,31.06,Sedang,Tengah,Baik,Normal,Normal
BR-0387,-5.696166036,105.7028594,4,50000000,83909613.02,67.82,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0388,-3.394543741,105.3400698,86,108051128.7,766657824.8,609.53,Tinggi,Atas,Sangat Baik,Extreme Superstar,Extreme High
BR-0389,-4.783164243,108.0175356,7,112699906.9,229814915.6,103.92,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0390,-7.074155483,104.3496364,61,86075484.12,85193006.1,-1.03,Sedang,Tengah,Kurang,Normal,Normal
BR-0391,-7.556422007,107.6000797,107,133564651.6,162008954.5,21.3,Sedang,Tengah,Baik,Normal,Normal
BR-0392,-5.470921243,108.7608007,54,50000000,46550288.08,-6.9,Sedang,Bawah,Kurang,Normal,Normal
BR-0393,-8.189149811,109.9129331,88,178542007.4,230195698.1,28.93,Sedang,Tengah,Baik,Normal,Normal
BR-0394,-3.461611851,106.5952148,68,163765023.2,82392037.48,-49.69,Sedang,Bawah,Kurang,Normal,Normal
BR-0395,-4.439639819,106.3364156,92,102090802.8,100210625.1,-1.84,Sedang,Tengah,Kurang,Normal,Normal
BR-0396,-6.912563478,104.6506435,79,191247573.9,145950876.7,-23.68,Sedang,Bawah,Kurang,Normal,Normal
BR-0397,-8.778501794,104.7783991,1,50000000,62706766.96,25.41,Sedang,Tengah,Baik,Normal,Normal
BR-0398,-4.177991439,106.2794028,55,50000000,79888947.51,59.78,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0399,-6.380609768,107.7640138,3,50000000,72920123.74,45.84,Sedang,Tengah,Baik,Normal,Normal
BR-0400,-4.352075532,109.1295616,78,101228165.8,25442308.16,-74.87,Sedang,Bawah,Kurang,Normal,Normal
BR-0401,-8.600441488,104.8376526,38,50000000,100841393.1,101.68,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0402,-7.107862534,110.5773214,114,103439461.8,136344793.4,31.81,Sedang,Tengah,Baik,Normal,Normal
BR-0403,-6.20093445,106.167791,1,149427470.6,132900843.7,-11.06,Sedang,Bawah,Kurang,Normal,Normal
BR-0404,-6.138329109,106.7921818,102,99644732.18,125836466.4,26.29,Sedang,Tengah,Baik,Normal,Normal
BR-0405,-6.883898207,104.9775708,38,77846586.97,98902214.9,27.05,Sedang,Tengah,Baik,Normal,Normal
BR-0406,-5.274525101,100.7849993,85,50000000,46663025.66,-6.67,Sedang,Tengah,Kurang,Normal,Normal
BR-0407,-7.810230644,109.0557135,112,50000000,63958333.35,27.92,Sedang,Tengah,Baik,Normal,Normal
BR-0408,-6.422369228,108.6877097,29,138970375.6,132996189.9,-4.3,Sedang,Tengah,Kurang,Normal,Normal
BR-0409,-6.028356552,106.1422811,5,104804723.7,108814049.7,3.83,Sedang,Tengah,Cukup,Normal,Normal
BR-0410,-5.437141749,107.0130768,113,64140611.65,59361388.57,-7.45,Sedang,Bawah,Kurang,Normal,Normal
BR-0411,-5.141377683,108.135448,74,51097916.05,32034892.34,-37.31,Sedang,Bawah,Kurang,Normal,Normal
BR-0412,-7.895763138,102.9392354,92,50000000,62916729.4,25.83,Sedang,Tengah,Baik,Normal,Normal
BR-0413,-8.509971256,105.5229683,21,50000000,71705988.73,43.41,Sedang,Tengah,Baik,Normal,Normal
BR-0414,-4.292284767,108.8312617,114,206714971.3,290631624.7,40.6,Sedang,Tengah,Baik,Normal,Normal
BR-0415,-5.710328982,103.7098764,71,50000000,76398505.05,52.8,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0416,-7.331529805,107.5794948,67,73565585.99,97822814.24,32.97,Sedang,Tengah,Baik,Normal,Normal
BR-0417,-3.882072037,103.4541455,109,120175818.7,118602693.2,-1.31,Sedang,Tengah,Kurang,Normal,Normal
BR-0418,-6.035288049,108.011675,47,50000000,30679239.81,-38.64,Sedang,Bawah,Kurang,Normal,Normal
BR-0419,-4.439854224,106.7564963,84,73355371.05,48193964.13,-34.3,Sedang,Bawah,Kurang,Normal,Normal
BR-0420,-6.107522278,102.8077705,83,115265569.3,96792123.32,-16.03,Sedang,Bawah,Kurang,Normal,Normal
BR-0421,-3.117678113,109.7574484,35,66154243.3,53870721.52,-18.57,Sedang,Bawah,Kurang,Normal,Normal
BR-0422,-3.575788736,105.0091211,68,367062185.1,599053717,63.2,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0423,-6.582246223,104.8199689,69,50000000,78855770.28,57.71,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0424,-4.751443574,107.347023,1,123931198.4,172874366.9,39.49,Sedang,Tengah,Baik,Normal,Normal
BR-0425,-5.240736076,109.7171934,68,59193302.36,96412390.27,62.88,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0426,-4.155852664,104.3060455,12,104338616.2,65477685.93,-37.25,Sedang,Bawah,Kurang,Normal,Normal
BR-0427,-7.656185191,106.9997996,60,85564778.56,114608720,33.94,Sedang,Tengah,Baik,Normal,Normal
BR-0428,-5.17972281,107.9176413,27,50000000,57496511.43,14.99,Sedang,Tengah,Baik,Normal,Normal
BR-0429,-4.62116327,108.578364,56,75330664.09,115915273.4,53.88,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0430,-8.84690923,107.2867039,106,50000000,756033666.6,1412.07,Tinggi,Atas,Sangat Baik,Extreme Superstar,Extreme High
BR-0431,-7.983687769,105.9280304,23,94295921.87,98635688.43,4.6,Sedang,Tengah,Cukup,Normal,Normal
BR-0432,-9.267648267,104.7766244,25,78522446.11,111216319.3,41.64,Sedang,Tengah,Baik,Normal,Normal
BR-0433,-6.612910252,107.0609597,21,96320920.98,149342473.6,55.05,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0434,-5.132486616,104.1652525,61,123885832.7,115543598.8,-6.73,Sedang,Tengah,Kurang,Normal,Normal
BR-0435,-3.955264422,99.54222379,63,81864164.74,96237034.16,17.56,Sedang,Tengah,Baik,Normal,Normal
BR-0436,-6.097657829,107.9369995,52,71761139.28,55731404.85,-22.34,Sedang,Bawah,Kurang,Normal,Normal
BR-0437,-3.765876682,109.1054371,88,50000000,10038779.65,-79.92,Sedang,Bawah,Kurang,Normal,Normal
BR-0438,-8.278952187,100.9382689,25,50000000,64009192.63,28.02,Sedang,Tengah,Baik,Normal,Normal
BR-0439,-8.763873659,104.3212732,109,133824630.4,193184170.1,44.36,Sedang,Tengah,Baik,Normal,Normal
BR-0440,-6.292121548,108.3934857,55,155444800.1,202828529.3,30.48,Sedang,Tengah,Baik,Normal,Normal
BR-0441,-5.632701827,111.9893387,46,56918657.1,23915814.56,-57.98,Sedang,Bawah,Kurang,Normal,Normal
BR-0442,-6.257842122,106.8975843,32,67497535.79,71524454.16,5.97,Sedang,Tengah,Cukup,Normal,Normal
BR-0443,-9.30996315,105.0255926,55,50000000,15633044.8,-68.73,Sedang,Bawah,Kurang,Normal,Normal
BR-0444,-6.342480059,106.3883589,96,132706981.3,231955937.2,74.79,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0445,-8.165504251,110.282791,5,97879735.5,74934588.5,-23.44,Sedang,Bawah,Kurang,Normal,Normal
BR-0446,-5.204291177,105.2306896,36,210444067.2,358209777.3,70.22,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0447,-5.658902631,104.84762,110,50000000,78917392.87,57.83,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0448,-7.618619679,105.6387412,106,52336012.13,43949891.51,-16.02,Sedang,Bawah,Kurang,Normal,Normal
BR-0449,-6.979600376,104.4622785,49,75441460.32,56346172.01,-25.31,Sedang,Bawah,Kurang,Normal,Normal
BR-0450,-7.797620283,107.1522758,106,96774464.66,129692113.6,34.01,Sedang,Tengah,Baik,Normal,Normal
BR-0451,-6.302818646,110.9072961,58,57690289.1,49744627.8,-13.77,Sedang,Bawah,Kurang,Normal,Normal
BR-0452,-4.776086519,107.6532982,39,50000000,62049692.84,24.1,Sedang,Tengah,Baik,Normal,Normal
BR-0453,-7.68738907,106.2147162,80,111423021.2,112188381.9,0.69,Sedang,Tengah,Cukup,Normal,Normal
BR-0454,-5.452730227,106.1160718,97,101207276.8,49342255.1,-51.25,Sedang,Bawah,Kurang,Normal,Normal
BR-0455,-7.004186428,102.937623,113,50000000,15390639.62,-69.22,Sedang,Bawah,Kurang,Normal,Normal
BR-0456,-7.398109248,109.0533744,85,148080363.5,191123430.5,29.07,Sedang,Tengah,Baik,Normal,Normal
BR-0457,-6.36934554,106.651007,61,132503448,129240802.5,-2.46,Sedang,Tengah,Kurang,Normal,Normal
BR-0458,-7.761663484,106.3944002,9,71169712.41,69658357.61,-2.12,Sedang,Tengah,Kurang,Normal,Normal
BR-0459,-7.039273958,114.8283689,6,68871893.26,101816455.9,47.83,Sedang,Tengah,Baik,Normal,Normal
BR-0460,-8.005616839,107.5924823,115,91553555.28,152837391.3,66.94,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0461,-3.261712301,104.9661224,109,50000000,54549105.57,9.1,Sedang,Tengah,Cukup,Normal,Normal
BR-0462,-6.155904672,105.779706,35,66853812.3,71116445.95,6.38,Sedang,Tengah,Cukup,Normal,Normal
BR-0463,-7.258388262,109.7167143,39,50000000,70002860.66,40.01,Sedang,Tengah,Baik,Normal,Normal
